#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.9963	0.00185285	209973	-209737	1820.87	1786.11
-144	10.5344	0.00204358	210215	-209834	1908.32	1813.9
-138	10.0715	0.00204156	210044	-209857	1813.09	1924
-132	9.60694	0.00226814	210528	-210162	1716.09	1626.67
-126	9.14141	0.00249524	210354	-209872	1879.09	1813.71
-120	8.67329	0.00248296	210764	-210177	1748.08	1646.78
-114	8.20456	0.00273074	210651	-209903	1824.34	1898.72
-108	7.73257	0.00277395	210795	-209738	1629.61	1670.59
-102	7.25706	0.00284764	211414	-210164	1865.08	1847.82
-96	6.77873	0.00311863	211773	-210190	1916.2	1823.21
-90	6.29603	0.00325547	212115	-210191	1829.41	1709.01
-84	5.80664	0.00368358	213140	-210481	1810.25	1766.16
-78	5.31067	0.00410778	214291	-210417	1892.42	1873.21
-72	4.80638	0.00490924	216139	-210501	1795.87	1782.44
-66	4.29032	0.00567741	218366	-210543	1888.32	2008.59
-60	3.76378	0.00646733	222425	-210488	1729.96	1551.33
-54	3.22744	0.00620718	228705	-210916	1960.54	1729.51
-48	2.68902	0.00742648	236966	-211296	2073.6	1800.85
-42	2.14895	0.00657458	247465	-211804	2019.12	1549.58
-36	1.61843	0.00635289	260541	-212444	2037.8	1704
-30	1.128	0.00675147	278288	-214749	2329.15	1740.03
-24	0.729382	0.00550739	296519	-217184	2256.03	1751.87
-18	0.434833	0.00411093	311074	-219837	2447.82	1819.59
-12	0.220799	0.00212699	321237	-224061	2386.53	1800.49
-6	0.0813197	0.000817176	325101	-227168	2262.65	1947.71
0	0.00176574	0.000150401	322840	-228548	2530.8	2038.1
6	-0.0880155	0.000755572	293841	-230064	2275.05	1881.44
12	-0.283271	0.00201717	259991	-230873	1989.14	1905.28
18	-0.601626	0.00284487	242141	-227419	2045.93	1865.68
24	-1.02056	0.00357986	232130	-221649	1912.19	1880.66
30	-1.50073	0.00376533	224919	-217566	1847.95	1961.97
36	-2.00479	0.00396693	220565	-215400	1676.98	1759
42	-2.51499	0.00396173	217279	-213734	1718.78	1779.03
48	-3.02043	0.00346548	214996	-212366	1728.9	1706.87
54	-3.51964	0.00390618	214023	-212069	1773.36	1811.03
60	-4.01124	0.0032509	212724	-211366	1859.47	1844.58
66	-4.49779	0.00305783	212154	-211239	1762.16	1587.57
72	-4.97869	0.00270078	211715	-210918	1822.7	1782.18
78	-5.45653	0.00264876	211346	-210669	2015.04	2032.07
84	-5.93087	0.00261695	211115	-210717	1955.27	2035.43
90	-6.40245	0.00239165	210822	-210363	1528.11	1604.02
96	-6.87173	0.00207871	210514	-210231	1839.31	1782.38
102	-7.33874	0.0023343	210771	-210503	1968.65	1853.74
108	-7.80482	0.00181972	210301	-210124	1736.23	1803.34
114	-8.26878	0.00153947	210342	-210233	1796.48	1651.33
120	-8.73188	0.00177942	210052	-209868	1886.69	1908.28
126	-9.19411	0.00171479	209883	-209903	1889.31	1858.3
132	-9.65469	0.00151205	209869	-210023	1858.43	1716.06
138	-10.1149	0.00186895	209675	-210010	2048.28	1888.21
144	-10.5741	0.00164195	209720	-209830	1728.02	1997.41
150	-11.0328	0.00147948	209583	-209776	1843.47	1777.93

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 332765.399479
