#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	1.99271	0.0130441	148456	-129088	1397.9	1217.01
-48	1.80336	0.0150787	150458	-128732	1397.14	1256.43
-46	1.62586	0.0118218	152919	-128745	1209.7	993.862
-44	1.45372	0.0117298	154910	-128135	1413.44	1136.8
-42	1.29253	0.0107933	157261	-127966	1381.8	1123.5
-40	1.13614	0.011164	159419	-127767	1343.96	1177.38
-38	0.992537	0.0103838	161948	-127736	1238.17	1008.68
-36	0.857918	0.00985952	164063	-127855	1393.83	1056
-34	0.731294	0.00917836	166326	-127777	1483.22	1212.5
-32	0.615572	0.00855599	168911	-128326	1403.2	1171
-30	0.511715	0.00651444	170934	-128568	1573.6	1227.01
-28	0.417839	0.00543692	173314	-129149	1518.22	1190.7
-26	0.335759	0.00515998	174901	-129228	1752.21	1382.89
-24	0.26737	0.0046563	176691	-129758	1232.18	985.04
-22	0.208372	0.00414243	178468	-130266	1495.25	1118.38
-20	0.161769	0.00316952	180033	-130755	1550.89	1223.54
-18	0.123173	0.00289625	181388	-131224	1384.79	1101.43
-16	0.0930957	0.00212605	182282	-131463	1635.26	1186.73
-14	0.0693382	0.00179665	183214	-131788	1549.21	1153.33
-12	0.0508056	0.00155263	184013	-132074	1496.83	1149.02
-10	0.0362304	0.00107211	184550	-132298	1520.84	1115.06
-8	0.0252108	0.000659349	185184	-132606	1517.6	1076.92
-6	0.0169069	0.000556293	185308	-132690	1451.82	1094.02
-4	0.0104575	0.000348434	185554	-133040	1702.33	1276.41
-2	0.00543314	0.000186107	185176	-133175	1594.84	1369.91
0	0.000976977	5.4009e-05	184292	-133576	1519.91	1332.97
2	-0.00383022	0.000174979	182298	-134121	1569.85	1242.72
4	-0.0105721	0.000335298	179442	-135694	1520.01	1229.06
6	-0.0212667	0.000588576	175846	-138506	1661.38	1395.88
8	-0.0380806	0.000889486	171641	-140792	1493.7	1332.82
10	-0.061067	0.00116698	167853	-142683	1683.23	1485.3
12	-0.092234	0.00179585	164058	-144265	1522.79	1409.91
14	-0.132333	0.00206285	160381	-145549	1498.25	1477.38
16	-0.183304	0.00289591	157416	-146194	1444.03	1348.75
18	-0.246327	0.00333483	155187	-146310	1443.3	1371.6
20	-0.322066	0.00431168	153115	-145333	1403.68	1196.41
22	-0.409694	0.005054	151436	-144133	1344.34	1271.68
24	-0.511235	0.00581942	149756	-143097	1388.17	1478.62
26	-0.624937	0.00646508	148284	-141776	1531.99	1450.37
28	-0.751063	0.00715114	146836	-140609	1333.38	1205.52
30	-0.888454	0.00781931	145624	-139637	1440.74	1377.4
32	-1.03707	0.00701725	144022	-138710	1332.26	1403.65
34	-1.19238	0.00867038	142618	-137671	1448.54	1420.52
36	-1.35499	0.00852291	141394	-136982	1357.87	1313.57
38	-1.524	0.00884841	140202	-136157	1445.24	1267.64
40	-1.69987	0.00889268	139128	-135607	1214.78	1283.45
42	-1.87615	0.00854901	138329	-135206	1358.19	1314.19
44	-2.05445	0.00903391	137524	-134594	1248.23	1290.59
46	-2.23452	0.00793856	136927	-134329	1369.03	1230.58
48	-2.41736	0.00845807	136155	-133955	1226.36	1475.04
50	-2.59785	0.0088225	135646	-133692	1353.91	1295.38

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 313606.116560
