#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	10.8702	0.00284421	174429	-174759	1591.72	1502.71
-144	10.4016	0.00304015	174604	-174736	1530.52	1523.13
-138	9.93041	0.00390017	174633	-174804	1759.79	1743.6
-132	9.45786	0.00345517	174372	-174528	1284.82	1282.17
-126	8.98252	0.00391261	174375	-174513	1368.96	1439.17
-120	8.50408	0.00394166	174621	-174883	1576.93	1607.69
-114	8.02232	0.00393561	174571	-174739	1520.88	1427.89
-108	7.53572	0.00499185	174570	-174669	1527.24	1460.15
-102	7.04477	0.0049425	174931	-174837	1421.05	1408.85
-96	6.54475	0.00463682	174744	-174781	1496.63	1331.94
-90	6.0392	0.00504113	175173	-175180	1747.1	1554.17
-84	5.52047	0.00622904	175465	-174876	1539.94	1398.14
-78	4.98658	0.00736756	175544	-174469	1581.32	1458.34
-72	4.42914	0.00772916	176988	-175059	1465.01	1443.99
-66	3.83976	0.0102484	178441	-174819	1518.88	1513.13
-60	3.21281	0.0122452	183773	-174046	1620.42	1401.45
-54	2.60239	0.0129732	194703	-172681	1739.1	1542.34
-48	2.02938	0.0125125	205955	-171720	1743.57	1433.45
-42	1.4694	0.0116087	215103	-171534	1781.01	1396.63
-36	0.864492	0.0093955	228625	-173286	1765.26	1365.46
-30	0.459158	0.00815289	248303	-177196	1908.84	1537.25
-24	0.266445	0.00548479	260935	-181153	1845.24	1360.2
-18	0.143668	0.00325126	266213	-184023	1999.73	1476.64
-12	0.0358809	0.000737228	265217	-189919	1878.73	1457.66
-6	0.00260008	4.23701e-05	264786	-195184	2026.63	1607
0	0.00109459	1.74263e-05	259875	-198468	1848.75	1569.87
6	-0.000894809	3.50851e-05	241420	-205119	1953.28	1710.6
12	-0.035284	0.000773574	220643	-207411	1646.58	1703.7
18	-0.17727	0.00330471	212218	-199232	1751.57	1759.91
24	-0.494665	0.00650376	201971	-188808	1877.78	1882.58
30	-0.963611	0.00748865	190933	-181410	1787.15	1824
36	-1.52074	0.00757466	182636	-177750	1521.82	1558.67
42	-2.09916	0.00792651	178447	-176358	1636.25	1791.34
48	-2.66299	0.00771128	176646	-175598	1484.19	1534.82
54	-3.20497	0.00661588	175919	-175591	1560.89	1555.28
60	-3.73113	0.00616259	175636	-175370	1506.42	1527.72
66	-4.24484	0.00495308	175254	-175403	1493.28	1471.83
72	-4.74888	0.00529631	175238	-174971	1480.52	1537.36
78	-5.24542	0.00452854	175110	-175233	1484.23	1580.49
84	-5.7352	0.00402664	174960	-175302	1554.45	1598.09
90	-6.22142	0.00415207	174786	-174783	1613.51	1586.47
96	-6.70235	0.0035338	174565	-174926	1761.96	1692.21
102	-7.18073	0.00340775	174551	-174828	1498.24	1520.05
108	-7.65564	0.00315071	174834	-175107	1605.33	1487.28
114	-8.12859	0.00330011	174446	-174600	1638.25	1558.41
120	-8.59866	0.00294618	174598	-174764	1559.38	1360.89
126	-9.06727	0.00261345	174484	-174940	1596.51	1776.57
132	-9.53496	0.00288556	174390	-174588	1495.23	1502.46
138	-9.99998	0.00248637	174563	-174698	1499.92	1473.32
144	-10.465	0.00268433	174766	-175101	1686.64	1631.14
150	-10.9281	0.00246105	174448	-174950	1498.73	1339.04

#a = 0.250000	V = 40.000000	#N_heads = 4	c = 0.300000	N = 128	dt = 0.010000	time = 10000000.000000
#CPU_time = 360843.932021
