#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	220.991	0.529738	1708.56	-1718.08	167.411	161.521
-144	211.55	0.516126	1741.67	-1744.73	152.692	151.867
-138	202.191	0.560058	1741.51	-1732.12	153.824	170.031
-132	192.645	0.49586	1748.24	-1740.78	166.538	161.936
-126	183.205	0.584084	1753.15	-1757.51	170.907	166.224
-120	173.727	0.566509	1732.14	-1747.2	161.448	161.214
-114	163.974	0.687474	1761.39	-1767.83	147.74	134.896
-108	154.479	0.776791	1751.93	-1765.35	152.544	144.723
-102	144.526	0.776362	1779.77	-1763.91	155.49	135.781
-96	134.942	0.807467	1761.13	-1739.26	152.378	156.717
-90	124.716	1.00271	1757.18	-1729.16	157.211	157.893
-84	114.831	0.941462	1746.17	-1747.2	139.895	147.222
-78	104.552	1.30718	1784.83	-1768.27	156.189	162.063
-72	93.9677	1.18159	1782.95	-1745.87	152.975	153.504
-66	83.1715	1.36393	1816.41	-1733.07	163.685	152.636
-60	71.9539	1.67139	1843.89	-1761.15	145.705	157.794
-54	60.9544	1.83814	1872.34	-1749.3	164.193	147.231
-48	49.4924	2.05995	1921.95	-1750.84	159.958	162.291
-42	37.9613	1.71276	2059.04	-1800.75	192.991	171.508
-36	27.5133	1.89384	2112.09	-1749.94	155.786	134.292
-30	17.822	1.46203	2290.95	-1821.81	170.552	150.931
-24	10.5397	1.13352	2377.45	-1832.14	192.247	154.727
-18	5.16563	0.638019	2534.5	-1934.56	181.168	158.256
-12	1.97305	0.358401	2628.1	-2065.79	201.715	170.073
-6	0.415271	0.0825227	2619.07	-2152.94	179.874	161.928
0	2.97302e-05	0.000904045	2622.9	-2246	155.153	139.766
6	-0.439271	0.0739939	2595.12	-2277.2	203.248	182.391
12	-2.18618	0.356275	2464.61	-2171.82	177.365	159.299
18	-6.62027	0.729158	2283.79	-2030.5	157.829	149.686
24	-13.9052	1.04542	2163.58	-1946.85	164.891	157.263
30	-23.707	1.54038	2003.55	-1853.75	153.785	132.553
36	-34.5075	1.55401	1905.44	-1801.96	151.425	137.317
42	-45.895	1.35674	1832.41	-1778.06	146.051	125.149
48	-56.9618	1.28668	1808.19	-1774.75	148.983	149.24
54	-67.6693	1.02755	1790.45	-1770.6	149.52	150.615
60	-78.0074	0.921865	1809.07	-1778.42	172.625	153.78
66	-88.0471	0.870291	1757.51	-1748.7	138.507	162.325
72	-98.1931	0.779668	1760.89	-1728.27	145.529	144.968
78	-107.978	0.76907	1785.42	-1755.11	159.459	154.757
84	-117.971	0.746295	1761.38	-1747	175.741	173.362
90	-127.529	0.584064	1768.61	-1778.89	134.465	155.567
96	-137.07	0.655765	1747.84	-1750.31	151.461	154.204
102	-146.717	0.594828	1733.89	-1744.31	141.019	160.383
108	-156.201	0.581887	1743.23	-1743.19	169.117	135.982
114	-165.667	0.565437	1743.78	-1749.48	148.656	139.088
120	-175.199	0.494098	1757.15	-1749.92	154.738	125.166
126	-184.559	0.497278	1728.83	-1725.36	148.213	139.622
132	-193.837	0.427813	1743.15	-1731.92	156.651	158.588
138	-203.241	0.410553	1713.94	-1736.33	154.971	157.966
144	-212.556	0.412664	1757.85	-1769.33	166.025	143.152
150	-221.881	0.401778	1772.52	-1770.31	160.808	135.723

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 346580.565032
