#c	v(nm/us)	dv
0	0.000722088	0.000880738
0.004	0.00049195	0.000857445
0.008	0.000313186	0.000886533
0.012	0.000123128	0.000929022
0.016	-0.000142436	0.00091423
0.02	-0.000341197	0.000898095

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 1000     time = 1000000.000000
#CPU_time = 30131.608521
