#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	68.8975	0.563378	3467.08	-3519.19	185.928	209.23
-48	65.5174	0.619511	3454.26	-3506.01	204.7	217.167
-46	62.0682	0.609249	3470.18	-3500.61	205.787	208.066
-44	58.4858	0.66839	3469.97	-3472.28	185.141	224.709
-42	55.1103	0.673891	3495.35	-3511.44	204.75	213.993
-40	51.5078	0.747655	3534.11	-3491.64	215.652	217.949
-38	48.0527	0.844972	3525.47	-3487.25	235.075	234.546
-36	44.6056	0.890108	3528.77	-3465.87	195.541	184.388
-34	41.0609	0.845629	3548.05	-3450.69	195.577	190.863
-32	37.5191	1.02699	3595.38	-3475.12	229.417	212.846
-30	33.764	0.759032	3598.16	-3440.09	235.01	222.465
-28	30.5239	1.03551	3640.72	-3399.86	232.997	204.024
-26	26.9619	0.956786	3672.48	-3402.41	206.519	193.799
-24	23.5368	1.01154	3739.77	-3389.43	201.504	189.779
-22	20.2524	0.848612	3771.56	-3350.25	250.45	212.2
-20	17.1181	0.852897	3834.88	-3335.24	221.994	205.84
-18	14.2481	0.728203	3906.42	-3306.19	219.609	192.457
-16	11.4098	0.622369	3981.43	-3298.41	227.87	212.134
-14	8.8826	0.589405	4017.71	-3222.93	238.698	205.218
-12	6.63839	0.507205	4028.29	-3160.61	197.249	177.122
-10	4.78094	0.374712	4199.76	-3194.82	214.838	180.211
-8	3.2912	0.258351	4209.4	-3113.65	220.65	195.702
-6	2.07275	0.202367	4237.32	-3085.9	227.617	190.956
-4	1.17764	0.145199	4329.49	-3081.04	245.594	197.079
-2	0.525271	0.0721463	4387.66	-3073.14	237.097	183.954
0	-0.000432812	0.00185836	4347.59	-3024.25	237.246	179.499
2	-0.526031	0.0644673	4345.44	-3043.46	220.054	178.07
4	-1.1695	0.129361	4382.7	-3087.24	230.239	171.344
6	-2.04213	0.216217	4289.79	-3079.98	259.18	193.591
8	-3.23856	0.236675	4253.23	-3148.09	239.99	200.09
10	-4.73636	0.381397	4174.45	-3178.21	234.583	219.368
12	-6.64953	0.559265	4072.92	-3199.96	221.513	190.087
14	-8.77651	0.556838	4064.85	-3246.33	270.598	206.012
16	-11.3312	0.683158	4016.06	-3307.61	237.262	212.848
18	-14.2849	0.680161	3883.42	-3268.46	256.908	228.842
20	-17.1545	0.74878	3815.29	-3317.35	219.66	194.49
22	-20.1226	0.813508	3725.17	-3323.59	215.973	190.286
24	-23.3751	0.876534	3755.27	-3390.93	224.544	184.793
26	-26.9675	0.840464	3667.36	-3402.86	199.312	201.194
28	-30.3878	0.8142	3661.55	-3403.77	209.069	196.833
30	-33.9014	0.870004	3626.65	-3473.02	249.674	245.331
32	-37.4858	0.939152	3619.81	-3495.52	215.985	194.396
34	-40.8999	0.889146	3590.97	-3483.18	199.991	204.519
36	-44.5802	0.760472	3555.28	-3450.54	217.396	206.922
38	-48.161	0.730938	3542.98	-3501.62	198.96	210.544
40	-51.5849	0.7043	3500.84	-3477.11	207.272	209.118
42	-55.023	0.667117	3551.57	-3546.2	204.46	221.603
44	-58.5251	0.721528	3481.11	-3506.8	203.322	207.862
46	-62.0432	0.554787	3482.85	-3512.59	231.78	217.467
48	-65.327	0.558586	3463.29	-3474.09	194.788	201.894
50	-68.7617	0.629645	3454.63	-3461.84	220.98	222.816

#a = 0.500000 V = 40.000000 #N_heads = 8   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 27294.427605
