#c	v(nm/us)	dv
0.05	0.00600333	0.000689382
0.15	0.00353656	0.000372524
0.25	0.00163988	0.000221331
0.35	0.000566118	0.000112225
0.45	0.000155077	6.79143e-05
0.55	3.91165e-05	2.49764e-05
0.65	9.92482e-06	1.44017e-05
0.75	1.56168e-06	7.63173e-06
0.85	-2.41125e-07	4.70841e-06
0.95	1.87225e-07	2.49972e-06

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 100     time = 10000000.000000
#CPU_time = 40994.006436
