#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-150	219.314	0.472274	500.593	-527.496	84.1462	94.1179
-144	209.276	0.480985	494.035	-508.249	83.761	76.3126
-138	199.564	0.654078	481.06	-505.21	84.814	87.8535
-132	189.625	0.613471	491.576	-522.881	92.3305	101.452
-126	179.753	0.723771	496.098	-520.948	81.9274	91.0164
-120	169.709	0.754486	492.095	-508.156	81.7884	80.3067
-114	159.433	0.802165	491.931	-511.097	83.1554	92.0078
-108	149.377	0.689246	496.657	-529.785	70.8345	80.8207
-102	138.844	0.988547	489.539	-509.934	88.4267	84.596
-96	128.168	1.06971	474.11	-507.764	83.7832	71.8679
-90	117.205	1.03133	505.585	-520.316	96.4452	84.5449
-84	106.035	1.25336	496.918	-514.366	82.0831	86.0137
-78	94.1688	1.20699	507.194	-524.073	87.3053	105.566
-72	82.337	1.57216	512.003	-522.876	87.7489	92.872
-66	69.3375	1.6522	499.956	-499.615	93.7556	93.0323
-60	55.8447	1.91661	523.289	-511.872	85.7123	91.8695
-54	41.6831	2.11323	526.548	-506.422	108.013	99.4248
-48	27.879	1.85288	567.359	-502.427	91.4547	80.6678
-42	16.4607	2.20015	588.176	-499.994	98.6363	90.6991
-36	8.20578	1.69853	631.159	-504.15	100.725	80.7951
-30	3.83755	1.12544	673.976	-526.042	102.938	96.0171
-24	1.38153	0.507099	700.014	-556.158	108.101	89.9708
-18	0.421683	0.234192	722.06	-588.223	98.8908	83.6659
-12	0.069512	0.0426008	744.02	-635.587	104.176	92.5961
-6	0.00757291	0.00880587	748.19	-655.201	116.532	105.289
0	0.000140505	9.36767e-05	756.948	-679.959	115.289	102.133
6	-0.00560652	0.00700806	754.816	-684.227	106.746	99.3598
12	-0.0552068	0.0462615	724.956	-670.586	110.784	108.548
18	-0.329486	0.209889	710.867	-653.843	104.672	102.192
24	-1.43136	0.482977	694.809	-636.84	96.0328	89.753
30	-4.43392	1.16489	659.302	-591.346	94.7137	87.9444
36	-11.2834	1.80073	617.603	-567.743	91.5836	88.7711
42	-21.4817	2.12057	565.21	-535.699	91.1997	88.7257
48	-34.9521	2.40161	541.899	-533.484	79.9364	81.9265
54	-48.1017	1.92156	525.496	-532.092	78.7289	85.1832
60	-61.5102	1.61201	502.867	-505.059	79.1428	84.7956
66	-74.0843	1.53965	502.033	-523.14	82.6934	76.815
72	-86.0164	1.4577	515.559	-535.68	88.2006	95.7012
78	-97.1851	1.23321	513.602	-525.585	82.1292	79.8801
84	-108.334	1.03145	511.162	-522.905	77.8671	79.0635
90	-119.241	0.914987	497.579	-511.403	79.5516	83.4632
96	-129.66	0.92311	485.426	-505.832	77.6479	84.7855
102	-140.139	0.801088	493.604	-506.604	84.1156	76.5869
108	-150.531	0.7645	494.608	-513.597	76.9606	74.0983
114	-160.757	0.777585	506.504	-516.97	80.0182	80.8228
120	-170.569	0.701786	490.658	-507.462	84.5553	89.1775
126	-180.67	0.699547	510.675	-524.619	95.9495	92.3949
132	-190.314	0.743425	477.425	-494.029	88.9533	92.2304
138	-200.4	0.623008	498.332	-519.631	82.4085	80.4165
144	-210.091	0.570136	485.616	-505.401	91.517	87.2661
150	-219.872	0.521277	492.118	-496.409	92.6741	87.3624

#a = 0.250000 V = 40.000000 #N_heads = 4   c = 0.300000       N = 100     time = 1000000.000000
#CPU_time = 23729.353553
