#c	v(nm/us)	dv
0	0.000314945	0.00031137
0.003	0.000162531	0.000323604
0.006	-5.16141e-05	0.000344976
0.009	-0.000347992	0.000358274
0.012	-0.000516462	0.000293835
0.015	-0.000736051	0.000301261

#a = 0.250000 V = 40.000000 #N_heads = 4	N = 100     time = 10000000.000000
#CPU_time = 41418.159479
