#F	v(nm/us)	dv	Q_in	Q_out	dQ_in	dQ_out
-50	69.4167	0.270047	4673.46	-4455.13	224.68	208.881
-40	52.1845	0.433072	4953.41	-4437.55	242.238	224.21
-30	34.8802	0.539807	5645.17	-4469.6	257.339	224.487
-20	19.7017	0.471163	6719.21	-4639.75	303.166	222.531
-10	7.93177	0.234937	7327.45	-5161.3	324.418	274.283
0	0.000265328	0.000885164	7275.92	-5898.54	333.266	283.33
10	-9.67184	0.203428	5876.74	-4749.88	278.528	250.489
20	-25.3351	0.21249	4742.44	-4483.79	241.433	221.759
30	-41.3731	0.169541	4538.14	-4459.49	252.086	244.832
40	-57.1548	0.144675	4460.69	-4396.06	250.014	236.044
50	-72.7849	0.127794	4415.04	-4398.72	220.665	206.498

#a = 0.250000	V = 40.000000	#N_heads = 1	c = 0.300000	N = 128	dt = 0.000500	time = 10000000.000000
#CPU_time = 979981.035931
